Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
201.8	7.648	0.0000	6.709	249.944	0.000	249.944	0.000
202.799	7.675	0.0000	6.742	250.814	0.000	250.814	0.000
203.798	7.700	0.0000	6.775	251.641	0.000	251.641	0.000
204.796	7.725	0.0000	6.808	252.451	0.000	252.451	0.000
205.794	7.748	0.0000	6.842	253.196	0.000	253.196	0.000
206.794	7.770	0.0000	6.875	253.918	0.000	253.918	0.000
207.793	7.791	0.0000	6.908	254.598	0.000	254.598	0.000
208.792	7.811	0.0000	6.942	255.248	0.000	255.248	0.000
209.792	7.830	0.0000	6.975	255.882	0.000	255.882	0.000
210.792	7.850	0.0000	7.008	256.546	0.000	256.546	0.000
211.79	7.869	0.0000	7.042	257.157	0.000	257.157	0.000
212.789	7.886	0.0000	7.075	257.719	0.000	257.719	0.000
213.788	7.902	0.0000	7.108	258.225	0.000	258.225	0.000
214.787	7.917	0.0000	7.141	258.732	0.000	258.732	0.000
215.786	7.932	0.0000	7.175	259.212	0.000	259.212	0.000
216.785	7.945	0.0000	7.208	259.641	0.000	259.641	0.000
217.784	7.958	0.0000	7.241	260.082	0.000	260.082	0.000
218.783	7.971	0.0000	7.275	260.500	0.000	260.500	0.000
219.782	7.984	0.0000	7.308	260.908	0.000	260.908	0.000
220.781	7.996	0.0000	7.341	261.294	0.000	261.294	0.000
221.78	8.007	0.0000	7.375	261.660	0.000	261.660	0.000
222.779	8.018	0.0000	7.408	262.026	0.000	262.026	0.000
223.779	8.029	0.0000	7.441	262.376	0.000	262.376	0.000
224.777	8.039	0.0000	7.474	262.703	0.000	262.703	0.000
225.776	8.049	0.0000	7.508	263.023	0.000	263.023	0.000
226.775	8.058	0.0000	7.541	263.327	0.000	263.327	0.000
227.774	8.067	0.0000	7.574	263.641	0.000	263.641	0.000
228.773	8.077	0.0000	7.608	263.954	0.000	263.954	0.000
229.772	8.086	0.0000	7.641	264.235	0.000	264.235	0.000
230.771	8.094	0.0000	7.674	264.507	0.000	264.507	0.000
231.77	8.103	0.0000	7.708	264.788	0.000	264.788	0.000
232.769	8.111	0.0000	7.741	265.075	0.000	265.075	0.000
233.769	8.120	0.0000	7.774	265.346	0.000	265.346	0.000
234.767	8.128	0.0000	7.807	265.605	0.000	265.605	0.000
235.766	8.136	0.0000	7.841	265.873	0.000	265.873	0.000
236.766	8.143	0.0000	7.874	266.121	0.000	266.121	0.000
237.764	8.152	0.0000	7.907	266.412	0.000	266.412	0.000
238.764	8.160	0.0000	7.941	266.660	0.000	266.660	0.000
239.762	8.168	0.0000	7.974	266.915	0.000	266.915	0.000
240.762	8.174	0.0000	8.007	267.121	0.000	267.121	0.000
241.76	8.182	0.0000	8.041	267.399	0.000	267.399	0.000
242.759	8.189	0.0000	8.074	267.621	0.000	267.621	0.000
243.758	8.197	0.0000	8.107	267.869	0.000	267.869	0.000
244.757	8.204	0.0000	8.140	268.091	0.000	268.091	0.000
245.756	8.212	0.0000	8.174	268.369	0.000	268.369	0.000
246.755	8.219	0.0000	8.207	268.582	0.000	268.582	0.000
247.755	8.226	0.0000	8.240	268.817	0.000	268.817	0.000
248.754	8.233	0.0000	8.274	269.042	0.000	269.042	0.000
249.753	8.240	0.0000	8.307	269.288	0.000	269.288	0.000
250.752	8.247	0.0000	8.340	269.516	0.000	269.516	0.000
251.75	8.253	0.0000	8.374	269.719	0.000	269.719	0.000
252.75	8.261	0.0000	8.407	269.961	0.000	269.961	0.000
253.749	8.267	0.0000	8.440	270.176	0.000	270.176	0.000
254.746	8.274	0.0000	8.473	270.395	0.000	270.395	0.000
